,TC,IMPORTE,TOTAL MX,TOTAL SAT
1427,1.0,0.0,0.0,0.0
1428,1.0,0.0,0.0,0.0
1429,1.0,1110.0,1287.6,1287.6
1430,1.0,5390.0,6252.4,6252.4
1431,1.0,600.0,696.0,696.0
1432,1.0,14.26,16.54,16.54
1433,1.0,0.0,0.0,0.0
1434,1.0,1000.71,1156.25,1156.25
1435,1.0,1591.25,1853.25,1853.25
1436,1.0,9548.28,11076.0,11076.0
1437,1.0,0.0,0.0,1351.0
1438,1.0,0.0,0.0,583.8
1439,1.0,4300.0,4348.0,4348.0
1440,1.0,0.0,0.0,0.0
1441,1.0,3900.8,4524.93,4524.93
1442,1.0,4037.6,4683.62,4683.62
1443,1.0,2525.6,2929.7,2929.7
1444,1.0,980.0,1136.8,1136.8
1445,1.0,15000.0,14300.0,14300.0
1446,1.0,4000.0,4640.0,4640.0
1447,1.0,29.89,34.67,34.67
1448,1.0,19200.0,22272.0,22272.0
1449,1.0,1757.8,2039.05,2039.05
1450,1.0,3307.01,3836.13,3836.13
1451,1.0,707.25,820.41,820.41
1452,1.0,3693.32,4284.25,4284.25
1453,1.0,2820.0,3271.2,3271.2
1454,1.0,140.0,140.0,140.0
1455,1.0,2870.0,3329.2,3329.2
1456,1.0,1350.0,1566.0,1566.0
1457,1.0,0.0,0.0,0.0
1458,1.0,0.0,0.0,0.0
1459,1.0,13.12,15.22,15.22
1460,1.0,1394.4,1617.5,1617.5
1461,1.0,0.0,0.0,0.0
1462,1.0,0.0,0.0,0.0
1463,1.0,0.0,0.0,0.0
1464,1.0,2738.7,3176.89,3176.89
1465,1.0,4602.75,5063.02,5063.02
1466,1.0,10245.04,11269.55,11269.55
1467,1.0,4148.0,4811.68,4811.68
1468,1.0,5008.44,5008.44,5008.44
1469,1.0,752.03,872.36,872.36
1470,1.0,1468.02,1702.9,1702.9
1471,1.0,0.0,0.0,0.0
1472,1.0,0.0,0.0,0.0
1473,1.0,0.0,0.0,0.0
